Strain    ,Stress
0         , Stress
0.00157764,  0.284
0.00312504,  0.502
0.00509008,  0.864
0.00638772,  1.041
0.00899528,  1.315
0.0103754 ,  1.483
0.0118205 ,  1.841
0.0150331 ,  2.236
0.0168706 ,  3.225
0.0185606 ,  4.490
0.0202608 ,  5.748
0.0219808 ,  6.722
0.0237584 ,  7.615
0.0257808 ,  8.689
0.0275984 ,  9.576
0.0294435 , 10.513
0.0312611 , 11.365
0.0331235 , 12.292
0.0352488 , 13.351
0.0371263 , 14.346
0.0389137 , 15.117
0.0410438 , 16.161
0.0429515 , 17.077
0.0448791 , 17.992
0.0467915 , 18.797
0.0487291 , 19.762
0.0509017 , 20.856
0.0528394 , 21.931
0.0547969 , 22.981
0.0567345 , 24.017
0.058702  , 25.081
0.060897  , 26.382
0.0628472 , 27.470
0.0647197 , 28.570
0.0669323 , 29.781
0.0689024 , 30.917
0.0708598 , 32.060
0.0728126 , 33.106
0.0747874 , 34.176
0.077005  , 35.360
0.078965  , 36.539
0.0809203 , 37.690
0.0828778 , 38.761
0.0848605 , 39.803
0.087108  , 41.035
0.0890929 , 42.059
0.0909332 , 43.032
0.0931682 , 43.972
0.0951357 , 44.708
0.0971606 , 25.613
0.101998  ,  2.479
