Strain    ,Stress
0         , Stress
0.00111244,  0.546
0.00166268,  1.406
0.00235024,  2.553
0.00314268,  3.684
0.00418016,  4.053
0.0152129 ,  4.804
0.0168482 ,  6.498
0.018543  ,  9.434
0.0202208 , 12.930
0.0221606 , 17.448
0.0239231 , 21.991
0.0256885 , 26.563
0.0274961 , 31.034
0.029291  , 35.116
0.031326  , 39.510
0.0331613 , 43.752
0.0349987 , 48.016
0.0368413 , 52.276
0.0387512 , 56.722
0.0405865 , 61.275
0.0426816 , 66.203
0.0445515 , 70.514
0.0464214 , 75.143
0.048309  , 80.007
0.0501666 , 84.784
0.0522743 , 90.318
0.0541443 , 95.309
0.0560469 , 100.451
0.058022  , 105.920
0.059902  , 111.382
0.0617921 , 116.628
0.0639496 , 122.665
0.0658523 , 128.252
0.0677672 , 133.753
0.0696573 , 139.475
0.0715449 , 145.164
0.0737024 , 151.701
0.0756076 , 157.720
0.0775225 , 163.506
0.0794151 , 169.091
0.0812926 , 174.458
0.083458  , 180.504
0.0853628 , 185.517
0.0872828 , 189.880
0.089188  , 194.203
0.0910806 , 197.450
0.093263  , 200.648
0.0952831 , 202.651
0.0970608 , 203.837
0.0992557 , 204.932
0.101158  , 205.912
0.103068  , 206.738
0.104989  , 207.578
0.106959  , 208.186
0.109199  , 209.107
0.111161  , 209.800
0.113126  , 210.424
0.115104  , 211.035
0.117349  , 211.511
0.119324  , 212.137
0.121279  , 212.546
0.123264  , 212.938
0.125232  , 213.426
0.127459  , 213.857
0.129427  , 214.369
0.131397  , 214.496
0.133382  , 214.923
0.135367  , 215.240
0.13762   , 215.602
0.139597  , 215.911
0.141567  , 216.065
0.143562  , 216.112
0.1455    , 216.388
0.147688  , 216.565
0.149643  , 216.836
0.151635  , 216.864
0.153653  , 217.086
0.155683  , 217.341
0.15796   , 217.446
0.159948  , 217.502
0.16194   , 217.383
0.163946  , 217.614
0.16594   , 217.598
0.168188  , 217.744
0.170123  , 217.986
0.172088  , 217.872
0.174086  , 217.942
0.176081  , 217.850
0.178358  , 217.888
0.180521  , 217.978
0.182819  , 217.871
0.185324  , 217.744
0.187826  , 217.721
0.190299  , 217.694
0.192506  , 217.694
0.195061  , 217.709
0.197649  , 217.739
0.199979  , 217.645
0.202377  , 217.609
0.20482   , 217.525
0.20682   , 217.496
0.208817  , 217.459
0.211047  , 217.445
0.213027  , 217.391
0.215007  , 217.304
0.217002  , 217.268
0.21902   , 217.034
0.221253  , 216.874
0.22326   , 216.785
0.225273  , 216.522
0.22728   , 216.375
0.229283  , 216.174
0.231265  , 215.952
0.23348   , 215.739
0.235436  , 215.389
0.23742   , 214.954
0.23942   , 214.626
0.241423  , 214.023
0.243708  , 213.490
0.245711  , 212.850
0.247736  , 212.209
0.249731  , 211.425
0.251721  , 210.313
0.254011  , 209.129
0.256019  , 208.008
0.258036  , 206.737
0.260024  , 205.474
0.262276  , 203.791
0.264319  , 202.195
0.266351  , 200.218
0.268391  , 198.016
0.270399  , 195.750
0.272692  , 192.936
0.274709  , 190.425
0.276747  , 187.351
0.278757  , 184.367
0.280764  , 180.633
0.283084  , 176.181
0.285147  , 171.716
0.28722   , 166.648
0.289322  , 158.395
0.294655  , 39.724
