Time - Plot 0,Amplitude - Plot 0
2372,-0.0185747
2373,-5.42293
2374,-10.2165
2375,-13.8252
2376,-15.6179
2377,-15.6487
2378,-13.6554
2379,-9.83635
2380,-4.82704
2381,0.544437
2382,5.52075
2383,9.86265
2384,13.0625
2385,14.225
2386,14.132
2387,12.3545
2388,8.73482
2389,4.18128
2390,-0.81853
2391,-5.95987
2392,-10.4564
2393,-13.7162
2394,-15.1518
2395,-14.9349
2396,-12.5836
2397,-8.75066
2398,-3.83714
2399,1.34349
2400,6.00029
2401,10.0647
2402,12.9575
2403,14.0492
2404,13.6453
2405,11.395
2406,7.7222
2407,3.27987
2408,-1.61836
2409,-6.50541
2410,-10.6922
2411,-13.5834
2412,-14.8294
2413,-14.1469
2414,-11.5413
2415,-7.66984
2416,-2.88038
2417,2.09773
2418,6.50859
2419,10.2823
2420,12.8005
2421,13.7091
2422,12.8661
2423,10.3907
2424,6.72986
2425,2.41763
2426,-2.43513
2427,-7.0552
2428,-10.8713
2429,-13.3459
2430,-14.2909
2431,-13.2446
2432,-10.5446
2433,-6.56295
2434,-1.90924
2435,2.83373
2436,6.9984
2437,10.43
2438,12.5712
2439,13.1312
2440,12.0469
2441,9.41188
2442,5.71814
2443,1.49195
2444,-3.22327
2445,-7.57596
2446,-10.9811
2447,-13.0583
2448,-13.4091
2449,-12.3559
2450,-9.49719
2451,-5.46454
2452,-0.907784
2453,3.5217
2454,7.43851
2455,10.5104
2456,12.3132
2457,12.5197
2458,11.2043
2459,8.42635
2460,4.70949
2461,0.525944
2462,-3.93038
2463,-8.05177
2464,-11.0044
2465,-12.823
2466,-12.9894
2467,-11.3457
2468,-8.45644
2469,-4.37537
2470,0.0225211
2471,4.17653
2472,7.84703
2473,10.5704
2474,11.9854
2475,11.893
2476,10.2574
2477,7.42901
2478,3.73899
2479,-0.368402
2480,-4.61257
2481,-8.44912
2482,-10.9768
2483,-12.4066
2484,-12.2528
2485,-10.3987
2486,-7.28816
2487,-3.35709
2488,0.941397
2489,4.81056
2490,8.15422
2491,10.5333
2492,11.5419
2493,11.1935
2494,9.29899
2495,6.39404
2496,2.8092
2497,-1.28368
2498,-5.25713
2499,-8.78225
2500,-10.8812
2501,-11.9351
2502,-11.3844
2503,-9.44851
2504,-6.16907
2505,-2.30273
2506,1.81237
2507,5.35637
2508,8.42006
2509,10.4073
2510,11.1623
2511,10.3861
2512,8.39989
2513,5.33582
2514,1.85565
2515,-2.13655
2516,-5.86342
2517,-9.02073
2518,-10.7198
2519,-11.3347
2520,-10.5275
2521,-8.43794
2522,-5.05833
2523,-1.26814
2524,2.60757
2525,5.8612
2526,8.5856
2527,10.199
2528,10.5811
2529,9.50987
2530,7.44082
2531,4.35787
2532,0.874616
2533,-2.95782
2534,-6.39176
2535,-9.17484
2536,-10.4794
2537,-10.6995
2538,-9.79051
2539,-7.26633
2540,-3.98149
2541,-0.262581
2542,3.30492
2543,6.33689
2544,8.68101
2545,9.829
2546,9.85982
2547,8.71325
2548,6.38877
2549,3.38249
2550,-0.0894649
2551,-3.69523
2552,-6.81042
2553,-9.27861
2554,-10.1879
2555,-10.1568
2556,-8.87831
2557,-6.19039
2558,-2.93804
2559,0.690456
2560,3.94062
2561,6.74168
2562,8.6841
2563,9.42164
2564,9.21141
2565,7.8844
2566,5.33248
2567,2.46091
2568,-1.03159
2569,-4.34763
2570,-7.17887
2571,-9.284
2572,-9.92163
2573,-9.65862
2574,-7.79338
2575,-5.08196
2576,-1.8833
2577,1.56194
2578,4.52495
2579,7.03474
2580,8.60101
2581,9.11239
2582,8.57237
2583,6.92558
2584,4.38304
2585,1.43455
2586,-1.89614
2587,-4.93055
2588,-7.45164
2589,-9.14248
2590,-9.67659
2591,-8.76337
2592,-6.73504
2593,-4.02439
2594,-0.872468
2595,2.35959
2596,5.00076
2597,7.22301
2598,8.44972
2599,8.64095
2600,7.87027
2601,5.85247
2602,3.42191
2603,0.475602
2604,-2.68286
2605,-5.43782
2606,-7.59304
2607,-8.78674
2608,-8.93045
2609,-7.77784
2610,-5.67451
2611,-2.95962
2612,0.145038
2613,3.04768
2614,5.40774
2615,7.30148
2616,8.17618
2617,8.12892
2618,6.95551
2619,4.86964
2620,2.45115
2621,-0.488479
2622,-3.38201
2623,-5.8186
2624,-7.62707
2625,-8.35909
2626,-8.15913
2627,-6.8266
2628,-4.62554
2629,-1.93415
2630,1.04902
2631,3.65231
2632,5.72199
2633,7.25512
2634,7.87798
2635,7.45996
2636,5.94815
2637,3.96656
2638,1.48579
2639,-1.39002
2640,-4.01077
2641,-6.08932
2642,-7.58431
2643,-7.90883
2644,-7.44959
2645,-5.80396
2646,-3.55885
2647,-0.92936
2648,1.85115
2649,4.17255
2650,5.93248
2651,7.05735
2652,7.44506
2653,6.56086
2654,4.97829
2655,3.02726
2656,0.534163
2657,-2.18817
2658,-4.5255
2659,-6.24112
2660,-7.34492
2661,-7.51393
2662,-6.49797
2663,-4.81753
2664,-2.54327
2665,0.102529
2666,2.53411
2667,4.53227
2668,6.05243
2669,6.64382
2670,6.61608
2671,5.72944
