Time - Plot 0,Amplitude - Plot 0
4198,-29.611
4199,-28.8859
4200,-26.7044
4201,-21.9312
4202,-14.3503
4203,-5.37746
4204,3.75787
4205,12.1246
4206,18.6135
4207,22.8906
4208,24.4929
4209,23.3525
4210,19.6036
4211,13.6266
4212,5.67075
4213,-3.10153
4214,-12.0819
4215,-19.934
4216,-25.2524
4217,-27.1382
4218,-26.3105
4219,-21.9524
4220,-14.7282
4221,-5.9835
4222,2.95625
4223,11.2288
4224,17.6744
4225,22.0436
4226,23.8637
4227,22.9866
4228,19.4969
4229,13.7846
4230,6.10328
4231,-2.42769
4232,-11.1839
4233,-18.9149
4234,-24.3218
4235,-26.6054
4236,-25.9225
4237,-21.7738
4238,-14.8716
4239,-6.38354
4240,2.33287
4241,10.4611
4242,16.8624
4243,21.332
4244,23.1783
4245,22.5516
4246,19.3014
4247,13.8279
4248,6.39635
4249,-1.86082
4250,-10.4017
4251,-18.0339
4252,-23.4909
4253,-25.9418
4254,-25.3882
4255,-21.4794
4256,-14.8601
4257,-6.6644
4258,1.85051
4259,9.8046
4260,16.206
4261,20.6707
4262,22.6716
4263,22.0853
4264,19.0066
4265,13.7534
4266,6.55829
4267,-1.48017
4268,-9.79847
4269,-17.3153
4270,-22.7005
4271,-25.2217
4272,-24.7974
4273,-21.1209
4274,-14.7234
4275,-6.79077
4276,1.52021
4277,9.28615
4278,15.6575
4279,20.0258
4280,22.1071
4281,21.5883
4282,18.6374
4283,13.5708
4284,6.58295
4285,-1.24875
4286,-9.3495
4287,-16.6931
4288,-21.9707
4289,-24.5562
4290,-24.1991
4291,-20.6483
4292,-14.4599
4293,-6.76496
4294,1.34503
4295,8.89471
4296,15.1847
4297,19.4716
4298,21.4282
4299,21.0557
4300,18.186
4301,13.3084
4302,6.4892
4303,-1.12302
4304,-9.00648
4305,-16.1566
4306,-21.317
4307,-23.802
4308,-23.5081
4309,-20.1175
4310,-14.0769
4311,-6.626
4312,1.28172
4313,8.60935
4314,14.797
4315,18.936
4316,20.8935
4317,20.5341
4318,17.7064
4319,12.9513
4320,6.29386
4321,-1.1166
4322,-8.77801
4323,-15.7082
4324,-20.722
4325,-23.1651
4326,-22.8233
4327,-19.491
4328,-13.5925
4329,-6.36453
4330,1.31742
4331,8.44304
4332,14.4679
4333,18.4214
4334,20.4679
4335,20.0309
4336,17.1173
4337,12.5005
4338,5.98847
4339,-1.23488
4340,-8.66602
4341,-15.3437
4342,-20.2139
4343,-22.5043
4344,-22.1466
4345,-18.7956
4346,-13.0508
4347,-5.99724
4348,1.45959
4349,8.35674
4350,14.2114
4351,17.9814
4352,19.791
4353,19.3183
4354,16.514
4355,11.9729
4356,5.59254
4357,-1.45256
4358,-8.64715
4359,-15.0626
4360,-19.7284
4361,-21.8223
4362,-21.3558
4363,-18.0717
4364,-12.4412
4365,-5.51963
4366,1.69422
4367,8.3683
4368,14.0181
4369,17.5599
4370,19.3334
4371,18.7184
4372,15.8904
4373,11.3719
4374,5.10684
4375,-1.74511
4376,-8.70031
4377,-14.8414
4378,-19.2834
4379,-21.1959
4380,-20.593
4381,-17.2662
4382,-11.7405
4383,-4.98667
4384,2.00578
4385,8.446
4386,13.8546
4387,17.1988
4388,18.6366
4389,17.9649
4390,15.2619
4391,10.6906
4392,4.56771
4393,-2.08043
4394,-8.81744
4395,-14.6749
4396,-18.8876
4397,-20.4278
4398,-19.8014
4399,-16.3828
4400,-10.9307
4401,-4.37601
4402,2.38694
4403,8.58598
4404,13.7497
4405,16.8606
4406,18.0913
4407,17.3053
4408,14.5932
4409,9.97669
4410,3.97452
4411,-2.52002
4412,-8.99941
4413,-14.5606
4414,-18.5106
4415,-19.8125
4416,-19.0901
4417,-15.458
4418,-10.1382
4419,-3.72143
4420,2.80304
4421,8.7659
4422,13.6558
4423,16.5211
4424,17.6193
4425,16.6526
4426,13.8712
4427,9.18547
4428,3.34871
4429,-2.99044
4430,-9.22968
4431,-14.479
4432,-18.1243
4433,-19.307
4434,-18.2749
4435,-14.5337
4436,-9.25652
4437,-3.02563
4438,3.26177
4439,8.97755
4440,13.5783
4441,16.2226
4442,16.9618
4443,15.9667
4444,13.1138
4445,8.34775
4446,2.67307
4447,-3.5035
4448,-9.47445
4449,-14.4163
4450,-17.6833
4451,-18.8498
4452,-17.3099
4453,-13.5821
4454,-8.35023
4455,-2.29746
4456,3.74464
4457,9.2141
4458,13.5167
4459,15.8842
4460,16.5208
4461,15.2327
4462,12.3099
4463,7.4633
4464,1.96532
4465,-4.04365
4466,-9.74042
4467,-14.3347
4468,-17.2295
4469,-18.0422
4470,-16.2922
4471,-12.5884
4472,-7.44394
4473,-1.50804
4474,4.22238
4475,9.47031
4476,13.4697
4477,15.5543
4478,15.9642
4479,14.5289
4480,11.3703
4481,6.59579
4482,1.21789
4483,-4.5829
4484,-10.012
4485,-14.2504
4486,-16.7194
4487,-17.1659
4488,-15.3707
4489,-11.5814
4490,-6.46547
4491,-0.729275
4492,4.76703
4493,9.70109
4494,13.4142
4495,15.161
4496,15.3328
4497,13.7886
